"","Label","Type","0- Reference","1- length only logistic","1b- length only logistic","2- length only dome","2b- length only dome","3a- age only_est LH","3b- age only_est LH rec devs","4a- lengths and ages","4b- lengths and ages rec devs","5a- catch length logistic","5b- catch length logistic rec devs","6a- catch length dome","6b- catch length dome rec devs","7a- catch ages","7b- catch ages rec devs","8a- catch length ages","8b- catch length ages rec devs"
"168",NA,"LnQ_base_MPA(5)",-7.39063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",NA,"Q_extraSD_MPA(5)",0.166822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",NA,"LnQ_base_Acoustic_Visual(6)",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",NA,"Q_extraSD_Acoustic_Visual(6)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",NA,"LnQ_base_Tag(7)",-1.17676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",NA,"Q_extraSD_Tag(7)",0.157977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",NA,"LnQ_base_MRFSS(8)",-7.69107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",NA,"Q_extraSD_MRFSS(8)",0.396729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",NA,"Size_DblN_peak_Trawl_wdis(1)",52.5325,NA,NA,NA,NA,39.9617,60.345,63.9987,63.9992,63.9992,63.9988,63.9991,63.2498,53.3797,55.7664,63.9975,63.9984
"177",NA,"Size_DblN_top_logit_Trawl_wdis(1)",0.770372,NA,NA,NA,NA,15,15,15,15,15,15,6.72022,6.72022,15,15,15,15
"178",NA,"Size_DblN_ascend_se_Trawl_wdis(1)",3.58539,NA,NA,NA,NA,-0.415265,4.73714,4.56126,4.48736,4.46667,4.3228,4.49171,4.26371,4.16797,4.2933,4.57276,4.48877
"179",NA,"Size_DblN_descend_se_Trawl_wdis(1)",-9.21034,NA,NA,NA,NA,-15,-15,-15,-15,-15,-15,-9.21034,-9.21034,-15,-15,-15,-15
"180",NA,"Size_DblN_start_logit_Trawl_wdis(1)",-10,NA,NA,NA,NA,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"181",NA,"Size_DblN_end_logit_Trawl_wdis(1)",11.513,NA,NA,NA,NA,15,15,15,15,15,15,11.513,11.513,15,15,15,15
"182",NA,"Size_DblN_peak_Non-Trawl_wdis(2)",42.6289,NA,NA,NA,NA,35.5588,35.5766,42.0771,42.7143,43.2048,44.7853,43.3935,45.4615,35.4878,35.4451,42.265,42.9596
"183",NA,"Size_DblN_top_logit_Non-Trawl_wdis(2)",-12,NA,NA,NA,NA,15,15,15,15,15,15,-1.99243,-1.99243,15,15,15,15
"184",NA,"Size_DblN_ascend_se_Non-Trawl_wdis(2)",4,NA,NA,NA,NA,-1.75593,-1.40545,3.71831,3.77645,3.83695,3.96691,3.87678,4.03075,-0.868739,-0.888376,3.73124,3.79121
"185",NA,"Size_DblN_descend_se_Non-Trawl_wdis(2)",2.15994,NA,NA,NA,NA,-15,-15,-15,-15,-15,-15,1.79176,1.79176,-15,-15,-15,-15
"186",NA,"Size_DblN_start_logit_Non-Trawl_wdis(2)",-15,NA,NA,NA,NA,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"187",NA,"Size_DblN_end_logit_Non-Trawl_wdis(2)",-1.5788,NA,NA,NA,NA,15,15,15,15,15,15,-20.7233,-20.7233,15,15,15,15
"188",NA,"Size_DblN_peak_Ocean(3)",41.8384,NA,NA,NA,NA,35.0002,33.5982,42.4786,43.138,43.806,45.9235,44.3181,46.9769,35.0457,35.1024,42.6863,43.3577
"189",NA,"Size_DblN_top_logit_Ocean(3)",-12,NA,NA,NA,NA,15,15,15,15,15,15,-1.99243,-1.99243,15,15,15,15
"190",NA,"Size_DblN_ascend_se_Ocean(3)",4,NA,NA,NA,NA,0.536992,-1.63293,3.95683,4.01569,4.0847,4.24696,4.17626,4.33941,1.83768,1.86397,3.97052,4.01989
"191",NA,"Size_DblN_descend_se_Ocean(3)",2.69017,NA,NA,NA,NA,-15,-15,-15,-15,-15,-15,1.79176,1.79176,-15,-15,-15,-15
"192",NA,"Size_DblN_start_logit_Ocean(3)",-15,NA,NA,NA,NA,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"193",NA,"Size_DblN_end_logit_Ocean(3)",-0.979909,NA,NA,NA,NA,15,15,15,15,15,15,-20.7233,-20.7233,15,15,15,15
"194",NA,"Size_DblN_peak_Shore(4)",22.0747,NA,NA,NA,NA,54.8958,54.8956,27.1701,27.1962,13.0832,10.9967,38.8764,42.4092,29.0002,30.3621,27.8771,27.6119
"195",NA,"Size_DblN_top_logit_Shore(4)",4,NA,NA,NA,NA,15,15,15,15,15,15,-1.54756,-1.54756,15,15,15,15
"196",NA,"Size_DblN_ascend_se_Shore(4)",3,NA,NA,NA,NA,-3.98527,-3.97975,4.06871,4.05933,3.98389,11.6906,11.9722,11.9698,-0.754937,-1.47926,4.15157,4.11609
"197",NA,"Size_DblN_descend_se_Shore(4)",0.000287824,NA,NA,NA,NA,-15,-15,-15,-15,-15,-15,0.693147,0.693147,-15,-15,-15,-15
"198",NA,"Size_DblN_start_logit_Shore(4)",-15,NA,NA,NA,NA,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"199",NA,"Size_DblN_end_logit_Shore(4)",4.34183,NA,NA,NA,NA,15,15,15,15,15,15,-20.7233,-20.7233,15,15,15,15
"200",NA,"Size_DblN_peak_MPA(5)",43.3327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",NA,"Size_DblN_top_logit_MPA(5)",-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",NA,"Size_DblN_ascend_se_MPA(5)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",NA,"Size_DblN_descend_se_MPA(5)",1.22829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",NA,"Size_DblN_start_logit_MPA(5)",-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",NA,"Size_DblN_end_logit_MPA(5)",-1.28204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",NA,"Size_DblN_peak_Acoustic_Visual(6)",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",NA,"Size_DblN_top_logit_Acoustic_Visual(6)",3.26947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",NA,"Size_DblN_ascend_se_Acoustic_Visual(6)",3.58539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",NA,"Size_DblN_descend_se_Acoustic_Visual(6)",-9.21034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",NA,"Size_DblN_start_logit_Acoustic_Visual(6)",-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",NA,"Size_DblN_end_logit_Acoustic_Visual(6)",11.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",NA,"Size_inflection_Tag(7)",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",NA,"Size_95%width_Tag(7)",1e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",NA,"SizeSel_P1_MRFSS(8)",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",NA,"SizeSel_P2_MRFSS(8)",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",NA,"InitF_seas_1_flt_1Fishery1",NA,1e-06,1e-06,1e-06,1e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",NA,"InitF_seas_1_flt_2Fishery2",NA,1e-06,1e-06,1e-06,1e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",NA,"InitF_seas_1_flt_3Fishery3",NA,1e-06,1e-06,1e-06,1e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",NA,"InitF_seas_1_flt_4Fishery4",NA,1e-06,1e-06,1e-06,1e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",NA,"Size_DblN_peak_Fishery1(1)",NA,63.9993,63.9995,63.9991,63.9998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",NA,"Size_DblN_top_logit_Fishery1(1)",NA,15,15,6.72022,6.72022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",NA,"Size_DblN_ascend_se_Fishery1(1)",NA,4.42605,4.2977,4.46165,4.22836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",NA,"Size_DblN_descend_se_Fishery1(1)",NA,-15,-15,-9.21034,-9.21034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",NA,"Size_DblN_start_logit_Fishery1(1)",NA,-15,-15,-15,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",NA,"Size_DblN_end_logit_Fishery1(1)",NA,15,15,11.513,11.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",NA,"Size_DblN_peak_Fishery2(2)",NA,43.3587,44.719,43.7543,45.9116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",NA,"Size_DblN_top_logit_Fishery2(2)",NA,15,15,-1.99243,-1.99243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",NA,"Size_DblN_ascend_se_Fishery2(2)",NA,3.85953,3.97305,3.92359,4.07019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",NA,"Size_DblN_descend_se_Fishery2(2)",NA,-15,-15,1.79176,1.79176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",NA,"Size_DblN_start_logit_Fishery2(2)",NA,-15,-15,-15,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",NA,"Size_DblN_end_logit_Fishery2(2)",NA,15,15,-20.7233,-20.7233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",NA,"Size_DblN_peak_Fishery3(3)",NA,43.9842,45.8587,44.7741,47.616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",NA,"Size_DblN_top_logit_Fishery3(3)",NA,15,15,-1.99243,-1.99243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",NA,"Size_DblN_ascend_se_Fishery3(3)",NA,4.10687,4.25807,4.22539,4.38901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",NA,"Size_DblN_descend_se_Fishery3(3)",NA,-15,-15,1.79176,1.79176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",NA,"Size_DblN_start_logit_Fishery3(3)",NA,-15,-15,-15,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",NA,"Size_DblN_end_logit_Fishery3(3)",NA,15,15,-20.7233,-20.7233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",NA,"Size_DblN_peak_Fishery4(4)",NA,14.9773,11.0023,39.1411,39.9209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",NA,"Size_DblN_top_logit_Fishery4(4)",NA,15,15,-1.54756,-1.54756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",NA,"Size_DblN_ascend_se_Fishery4(4)",NA,5.53528,6.71759,11.9762,11.9623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241",NA,"Size_DblN_descend_se_Fishery4(4)",NA,-15,-15,0.693147,0.693147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",NA,"Size_DblN_start_logit_Fishery4(4)",NA,-15,-15,-15,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",NA,"Size_DblN_end_logit_Fishery4(4)",NA,15,15,-20.7233,-20.7233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Derived quantities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245",NA,"SB0",1632.81,3935.79,2571.21,4004.03,2087.29,2546.9,3092.01,2592.02,2940.18,963.359,679.827,986.72,593.717,1341.37,1599.05,1116.92,1320.48
"246",NA,"SSB_2023",899.771,604.641,369.254,667.63,257.512,408.329,1745.76,432.139,1023.84,107.33,67.6233,135.073,54.7967,316.011,730.869,178.272,437.77
"247",NA,"Bratio_2023",0.551058,0.153626,0.143611,0.16674,0.123371,0.160324,0.564603,0.166719,0.348225,0.111412,0.0994715,0.136891,0.0922944,0.235587,0.457065,0.15961,0.331523
"248",NA,"MSY_SPR",454.965,710.19,465.162,717.348,378.285,670.894,851.47,679.504,782.564,302.594,215.361,309.074,188.46,332.222,408.718,307.113,360.285
"249",NA,"F_SPR",0.064922,0.070481,0.0706245,0.0703642,0.0707688,0.051961,0.0505702,0.0583519,0.0562641,0.062637,0.0626101,0.0629924,0.0627525,0.0623666,0.061055,0.0598038,0.0572633
