"","Label","Type","0- Reference","1- length only logistic","1b- length only logistic","2- length only dome","2b- length only dome","3a- age only_est LH","3b- age only_est LH rec devs","4a- lengths and ages","4b- lengths and ages rec devs","5a- catch length logistic","5b- catch length logistic rec devs","6a- catch length dome","6b- catch length dome rec devs","7a- catch ages","7b- catch ages rec devs","8a- catch length ages","8b- catch length ages rec devs"
"44",NA,"Tag",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,"MRFSS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Length_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,"Trawl_wdis",1,NA,NA,NA,NA,0,0,1,1,1,1,1,1,0,0,1,1
"49",NA,"Non.Trawl_wdis",1,NA,NA,NA,NA,0,0,1,1,1,1,1,1,0,0,1,1
"50",NA,"Ocean",1,NA,NA,NA,NA,0,0,1,1,1,1,1,1,0,0,1,1
"51",NA,"Shore",1,NA,NA,NA,NA,0,0,1,1,1,1,1,1,0,0,1,1
"52",NA,"Fishery1",NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,"Fishery2",NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,"Fishery3",NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,"Fishery4",NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,"MPA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,"Acoustic_Visual",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,"Tag",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,"MRFSS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Age_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,"ALL",3253.3,NA,NA,NA,NA,17077.5,15349.1,14907,13790.4,NA,NA,NA,NA,15552.9,14342.1,14852.1,13791.9
"62",NA,"Trawl_wdis",668.511,NA,NA,NA,NA,1174.2,1184.31,954.229,973.702,NA,NA,NA,NA,1123.78,1150.54,958.513,980.801
"63",NA,"Non.Trawl_wdis",1329.66,NA,NA,NA,NA,6799.93,6317.82,5913.54,5574.64,NA,NA,NA,NA,6372.52,5955.01,5897.3,5573.55
"64",NA,"Ocean",1255.12,NA,NA,NA,NA,9103.36,7847,8039.24,7242.05,NA,NA,NA,NA,8056.64,7236.6,7996.24,7237.53
"65",NA,"Shore",0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0
"66",NA,"Fishery1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,"Fishery2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,"Fishery3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,"Fishery4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,"MPA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,"Acoustic_Visual",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,"Tag",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,"MRFSS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Age_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,"Trawl_wdis",1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,1,1,1
"77",NA,"Non.Trawl_wdis",1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,1,1,1
"78",NA,"Ocean",1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,1,1,1
