"","Label","Type","00- Reference model","01- 2015 M values","02- Lorenzen_M","03- Est M","04- Fix gr parms, est M","05- Fix gr parms","06- Est Lmin","07- Est growth CVs","08- Bio maturity","09- Fxn Mat Logistic","10- Fec=Wt","11- No rec devs","12- Est all rec devs","13- Sel all logistic"
"184",NA,"Size_DblN_descend_se_Shore(4)",0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,-9
"185",NA,"Size_DblN_start_logit_Shore(4)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-10
"186",NA,"Size_DblN_end_logit_Shore(4)",4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,10
"187",NA,"Size_DblN_peak_MPA(5)",43.8639,43.8639,43.8639,43.8639,43.8639,43.8639,43.8639,43.8639,43.8639,43.8639,43.8639,43.8639,43.8639,43.8639
"188",NA,"Size_DblN_top_logit_MPA(5)",-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12
"189",NA,"Size_DblN_ascend_se_MPA(5)",4,4,4,4,4,4,4,4,4,4,4,4,4,4
"190",NA,"Size_DblN_descend_se_MPA(5)",0.417662,0.417662,0.417662,0.417662,0.417662,0.417662,0.417662,0.417662,0.417662,0.417662,0.417662,0.417662,0.417662,0.417662
"191",NA,"Size_DblN_start_logit_MPA(5)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"192",NA,"Size_DblN_end_logit_MPA(5)",-0.90999,-0.90999,-0.90999,-0.90999,-0.90999,-0.90999,-0.90999,-0.90999,-0.90999,-0.90999,-0.90999,-0.90999,-0.90999,-0.90999
"193",NA,"Size_DblN_peak_Acoustic_Visual(6)",25,25,25,25,25,25,25,25,25,25,25,25,25,25
"194",NA,"Size_DblN_top_logit_Acoustic_Visual(6)",3.26947,3.26947,3.26947,3.26947,3.26947,3.26947,3.26947,3.26947,3.26947,3.26947,3.26947,3.26947,3.26947,3.26947
"195",NA,"Size_DblN_ascend_se_Acoustic_Visual(6)",3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539
"196",NA,"Size_DblN_descend_se_Acoustic_Visual(6)",-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034
"197",NA,"Size_DblN_start_logit_Acoustic_Visual(6)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"198",NA,"Size_DblN_end_logit_Acoustic_Visual(6)",11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513
"199",NA,"Size_inflection_Tag(7)",32,32,32,32,32,32,32,32,32,32,32,32,32,32
"200",NA,"Size_95%width_Tag(7)",1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
"201",NA,"SizeSel_P1_MRFSS(8)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"202",NA,"SizeSel_P2_MRFSS(8)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
