"","Label","Type","00- Reference model","01- 2015 M values","02- Lorenzen_M","03- Est M","04- Fix gr parms, est M","05- Fix gr parms","06- Est Lmin","07- Est growth CVs","08- Bio maturity","09- Fxn Mat Logistic","10- Fec=Wt","11- No rec devs","12- Est all rec devs","13- Sel all logistic"
"138",NA,"ForeRecr_2026",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"139",NA,"ForeRecr_2027",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"140",NA,"ForeRecr_2028",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"141",NA,"ForeRecr_2029",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"142",NA,"ForeRecr_2030",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"143",NA,"ForeRecr_2031",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"144",NA,"ForeRecr_2032",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"145",NA,"ForeRecr_2033",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"146",NA,"ForeRecr_2034",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"147",NA,"InitF_seas_1_flt_1Trawl_wdis",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"148",NA,"InitF_seas_1_flt_2Non-Trawl_wdis",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"149",NA,"InitF_seas_1_flt_3Ocean",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"150",NA,"InitF_seas_1_flt_4Shore",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"151",NA,"LnQ_base_Non-Trawl_wdis(2)",-5.68434,-5.80394,-5.70212,-5.68521,-5.81415,-5.68251,-5.54601,-5.76627,-5.76091,-5.76545,-5.76408,-5.54804,-5.92586,-5.85636
"152",NA,"Q_extraSD_Non-Trawl_wdis(2)",0.0315113,0.0324288,0.0319383,0.0510945,0.0326376,0.0299101,0.0292418,0.0317731,0.0309924,0.0316701,0.0313921,0.105429,0.0246156,0.0286253
"153",NA,"LnQ_base_Ocean(3)",-9.14607,-9.26504,-9.16286,-9.15498,-9.2705,-9.14149,-9.00797,-9.22691,-9.22095,-9.22602,-9.22444,-9.03518,-9.37912,-9.4689
"154",NA,"Q_extraSD_Ocean(3)",0.210671,0.211142,0.212721,0.183411,0.211625,0.216183,0.214268,0.212575,0.214193,0.212792,0.213371,0.144224,0.234611,0.21553
"155",NA,"LnQ_base_MPA(5)",-7.22195,-7.34227,-7.23647,-7.21665,-7.3461,-7.21938,-7.07993,-7.30454,-7.29984,-7.30382,-7.30268,-7.03794,-7.4749,-7.09386
"156",NA,"Q_extraSD_MPA(5)",0.147167,0.150308,0.147577,0.131344,0.149318,0.150019,0.147153,0.149408,0.149666,0.149432,0.149533,0.0807506,0.158038,0.150608
"157",NA,"LnQ_base_Acoustic_Visual(6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158",NA,"Q_extraSD_Acoustic_Visual(6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159",NA,"LnQ_base_Tag(7)",-1.00038,-1.09969,-1.0409,-0.96489,-1.13434,-0.999924,-0.887436,-1.07206,-1.06695,-1.07129,-1.06996,-0.943085,-1.20788,-0.882071
