"","Label","Type","00- Reference Model","01- No Acoustic visual","02- No tagging index","03- No non-trawl index","04- No ORBS index","05- No MRFSS index","06- No MPA index","07- Add SMURF index","08- No data-weighting","09- Dirichlet","10- McA-I","11- 2015 Catch history","12- Sex=3","13- Sex=3, est M","14- No age bias"
"227",NA,"ln(DM_theta)_Len_P1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000465693,NA,NA,NA,NA,NA
"228",NA,"ln(DM_theta)_Len_P2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000453236,NA,NA,NA,NA,NA
"229",NA,"ln(DM_theta)_Len_P3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000515335,NA,NA,NA,NA,NA
"230",NA,"ln(DM_theta)_Len_P4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000508072,NA,NA,NA,NA,NA
"231",NA,"ln(DM_theta)_Len_P5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000498882,NA,NA,NA,NA,NA
"232",NA,"ln(DM_theta)_Age_P6",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.06323,NA,NA,NA,NA,NA
"233",NA,"ln(DM_theta)_Age_P7",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.90619,NA,NA,NA,NA,NA
"234",NA,"ln(DM_theta)_Age_P8",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.63706,NA,NA,NA,NA,NA
"235","Derived quantities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",NA,"SB0",1445.09,1427.88,1450.68,1332.05,1469.37,1447.11,1451.24,1446.37,1941.56,1987.28,1343.76,1406.98,1339.52,1614.51,1463.29
"237",NA,"SSB_2023",617.269,590.071,629.04,390.821,671.937,618.722,629.988,616.524,1171.1,1197.62,520.559,613.106,471.876,995.36,497.399
"238",NA,"Bratio_2023",0.42715,0.413249,0.433618,0.293398,0.457296,0.427556,0.434103,0.426255,0.603178,0.60264,0.387389,0.435761,0.352273,0.61651,0.339918
"239",NA,"MSY_SPR",406.666,402.322,408.198,374.499,413.574,408.097,408.368,407.039,468.734,478.82,396.838,395.639,381.373,547.493,405.582
"240",NA,"F_SPR",0.0652751,0.0652602,0.0652736,0.0653518,0.0652567,0.0652274,0.0652731,0.0652726,0.065029,0.0648991,0.0655534,0.0653012,0.0640495,0.0667291,0.0660867
