"Label","Total"
"TOTAL","3745.67"
"Catch","5.98704e-09"
"Equil catch","0"
"Survey","-78.8745"
"Length comp","0"
"Age comp","3803.21"
"Recruitment","-5.10827"
"InitEQ Regime","3.88399e-31"
"Forecast Recruitment","0"
"Parm priors","26.4453"
"Parm softbounds","0"
"Parm devs","0"
"Crash Pen","0"
