"caption","alt_caption","label","filein"
"Retrospective patterns for spawning stock biomass (\emph{SSB}) when up to five years of data were removed from the base model. Mohn's rho (Mohn, 1999) values were recalculated for each peel given the removal of another year of data. See Table \ref{tab:RetroMohnsrho} for other derivations of Mohn's rho.","Each successive peel of data led to a Mohn's rho of -0.19, -0.51, -1.06, -1.57, and -2.03 for SSB.","RetroSsb","../C:/Users/copej/Documents/GitHub/SS-DL-tool/Scenarios/Reference model_updated_retro/compare2_spawnbio_uncertainty.png"
"Retrospective patterns for fraction unfished when up to five years of data were removed from the base model. Mohn's rho (Mohn, 1999) values were recalculated for each peel given the removal of another year of data. See Table \ref{tab:RetroMohnsrho} for other derivations of Mohn's rho.","Each successive peel of data led to a Mohn's rho of -0.15, -0.38, -0.82, -1.21, and -1.55 for fraction unfished.","RetroFractionunfished","../C:/Users/copej/Documents/GitHub/SS-DL-tool/Scenarios/Reference model_updated_retro/compare4_Bratio_uncertainty.png"
