"Year","OFL (mt)","ABC (mt)","ACL (mt)","Catch (mt)"
2013,"fill in","fill in","fill in","442.14"
2014,"fill in","fill in","fill in","479.45"
2015,"fill in","fill in","fill in","594.52"
2016,"fill in","fill in","fill in","524.53"
2017,"fill in","fill in","fill in","541.43"
2018,"fill in","fill in","fill in","415.07"
2019,"fill in","fill in","fill in","437.55"
2020,"fill in","fill in","fill in","435.56"
2021,"fill in","fill in","fill in","435.54"
2022,"fill in","fill in","fill in","526.00"
