"Label","Total"
"TOTAL","3687.49"
"Catch","4.28221e-09"
"Equil catch","0"
"Survey","-76.0855"
"Length comp","492.509"
"Age comp","3253.3"
"Recruitment","-5.04363"
"InitEQ Regime","0"
"Forecast Recruitment","0"
"Parm priors","22.8128"
"Parm softbounds","0.000633885"
"Parm devs","0"
"Crash Pen","0"
